guest_id,membership_number,points_balance,status,tier_id
173,MBR-1173,840,Active,1
174,MBR-1174,520,Active,1
175,MBR-1175,370,Active,1
176,MBR-1176,200,Active,1
177,MBR-1177,520,Active,1
178,MBR-1178,8700,Active,3
179,MBR-1179,730,Active,1
180,MBR-1180,680,Active,1
181,MBR-1181,710,Active,1
182,MBR-1182,30,Active,1
183,MBR-1183,7600,Active,3
184,MBR-1184,330,Active,1
185,MBR-1185,980,Active,1
186,MBR-1186,680,Active,1
187,MBR-1187,1700,Active,2
188,MBR-1188,2900,Active,2
189,MBR-1189,360,Active,1
190,MBR-1190,500,Active,1
191,MBR-1191,790,Active,1
192,MBR-1192,5600,Active,3
193,MBR-1193,5600,Active,3
194,MBR-1194,610,Active,1
195,MBR-1195,990,Active,1
196,MBR-1196,800,Active,1
197,MBR-1197,530,Active,1
198,MBR-1198,2200,Active,2
199,MBR-1199,9400,Active,3
200,MBR-1200,990,Active,1
201,MBR-1201,990,Active,1
202,MBR-1202,400,Active,1
203,MBR-1203,70,Active,1
204,MBR-1204,770,Active,1
205,MBR-1205,20,Active,1
206,MBR-1206,3300,Active,2
207,MBR-1207,4700,Active,2
208,MBR-1208,80,Active,1
209,MBR-1209,810,Active,1
210,MBR-1210,890,Active,1
211,MBR-1211,890,Active,1
212,MBR-1212,190,Active,1
213,MBR-1213,30,Active,1
214,MBR-1214,810,Active,1
215,MBR-1215,5400,Active,3
216,MBR-1216,4100,Active,2
217,MBR-1217,2000,Active,2
218,MBR-1218,500,Active,1
219,MBR-1219,760,Active,1
220,MBR-1220,7000,Active,3
221,MBR-1221,60,Active,1
222,MBR-1222,730,Active,1
223,MBR-1223,320,Active,1
224,MBR-1224,970,Active,1
225,MBR-1225,550,Active,1
226,MBR-1226,660,Active,1
227,MBR-1227,760,Active,1
228,MBR-1228,2500,Active,2
229,MBR-1229,3700,Active,2
230,MBR-1230,4700,Active,2
231,MBR-1231,570,Active,1
232,MBR-1232,540,Active,1
233,MBR-1233,950,Active,1
234,MBR-1234,530,Active,1
235,MBR-1235,4200,Active,2
236,MBR-1236,780,Active,1
237,MBR-1237,70,Active,1
238,MBR-1238,1700,Active,2
239,MBR-1239,7000,Active,3
240,MBR-1240,250,Active,1
241,MBR-1241,520,Active,1
242,MBR-1242,990,Active,1
243,MBR-1243,410,Active,1
244,MBR-1244,1800,Active,2
245,MBR-1245,4700,Active,2
246,MBR-1246,650,Active,1
247,MBR-1247,120,Active,1
248,MBR-1248,260,Active,1
249,MBR-1249,7200,Active,3
250,MBR-1250,920,Active,1
251,MBR-1251,4000,Active,2
252,MBR-1252,580,Active,1
253,MBR-1253,900,Active,1
254,MBR-1254,950,Active,1
255,MBR-1255,860,Active,1
256,MBR-1256,3900,Active,2
257,MBR-1257,2500,Active,2
258,MBR-1258,580,Active,1
259,MBR-1259,4000,Active,2
260,MBR-1260,170,Suspended,1
261,MBR-1261,220,Active,1
262,MBR-1262,920,Active,1
263,MBR-1263,730,Active,1
264,MBR-1264,890,Active,1
265,MBR-1265,900,Active,1
266,MBR-1266,650,Active,1
267,MBR-1267,100,Active,1
268,MBR-1268,120,Active,1
269,MBR-1269,5400,Active,3
270,MBR-1270,2200,Active,2
271,MBR-1271,400,Active,1
272,MBR-1272,5700,Active,3
273,MBR-1273,900,Active,1
274,MBR-1274,670,Active,1
275,MBR-1275,9500,Active,3
276,MBR-1276,890,Active,1
277,MBR-1277,810,Active,1
278,MBR-1278,630,Active,1
279,MBR-1279,710,Active,1
280,MBR-1280,510,Active,1
281,MBR-1281,440,Active,1
282,MBR-1282,830,Active,1
283,MBR-1283,7700,Active,3
284,MBR-1284,500,Active,1
285,MBR-1285,310,Active,1
286,MBR-1286,600,Active,1
287,MBR-1287,630,Active,1
288,MBR-1288,1100,Active,2
289,MBR-1289,780,Active,1
290,MBR-1290,4400,Active,2
291,MBR-1291,2400,Active,2
292,MBR-1292,530,Active,1
293,MBR-1293,1100,Active,2
294,MBR-1294,650,Active,1
295,MBR-1295,400,Active,1
296,MBR-1296,2700,Active,2
297,MBR-1297,280,Active,1
298,MBR-1298,4600,Active,2
299,MBR-1299,1000,Active,2
300,MBR-1300,420,Active,1
301,MBR-1301,650,Active,1
302,MBR-1302,280,Active,1
303,MBR-1303,100,Active,1
304,MBR-1304,890,Active,1
305,MBR-1305,1700,Active,2
306,MBR-1306,680,Active,1
307,MBR-1307,920,Active,1
308,MBR-1308,310,Active,1
309,MBR-1309,3000,Active,2
310,MBR-1310,170,Active,1
311,MBR-1311,780,Active,1
312,MBR-1312,360,Active,1
313,MBR-1313,8400,Active,3
314,MBR-1314,3300,Active,2
315,MBR-1315,530,Active,1
316,MBR-1316,2700,Active,2
317,MBR-1317,960,Active,1
318,MBR-1318,660,Active,1
319,MBR-1319,240,Active,1
320,MBR-1320,980,Active,1
321,MBR-1321,700,Suspended,1
322,MBR-1322,800,Active,1
323,MBR-1323,1300,Active,2
324,MBR-1324,660,Active,1
325,MBR-1325,840,Active,1
326,MBR-1326,970,Active,1
327,MBR-1327,40,Active,1
328,MBR-1328,360,Active,1
329,MBR-1329,800,Active,1
330,MBR-1330,30,Active,1
331,MBR-1331,600,Active,1
332,MBR-1332,430,Active,1
333,MBR-1333,680,Active,1
334,MBR-1334,960,Active,1
335,MBR-1335,3800,Active,2
336,MBR-1336,40,Active,1
337,MBR-1337,60,Active,1
338,MBR-1338,170,Active,1
339,MBR-1339,750,Active,1
340,MBR-1340,9900,Active,3
341,MBR-1341,510,Active,1
342,MBR-1342,810,Active,1
343,MBR-1343,20,Active,1
344,MBR-1344,780,Active,1
345,MBR-1345,700,Active,1
346,MBR-1346,900,Active,1
347,MBR-1347,460,Active,1
348,MBR-1348,700,Active,1
349,MBR-1349,600,Active,1
350,MBR-1350,1600,Active,2
351,MBR-1351,790,Active,1
352,MBR-1352,700,Active,1
353,MBR-1353,1300,Active,2
354,MBR-1354,180,Active,1
355,MBR-1355,640,Active,1
356,MBR-1356,930,Active,1
357,MBR-1357,820,Active,1
358,MBR-1358,290,Active,1
359,MBR-1359,270,Active,1
360,MBR-1360,130,Active,1
361,MBR-1361,720,Active,1
362,MBR-1362,190,Active,1
363,MBR-1363,140,Active,1
364,MBR-1364,810,Active,1
365,MBR-1365,4300,Active,2
366,MBR-1366,3300,Active,2
367,MBR-1367,6900,Active,3
368,MBR-1368,4400,Active,2
369,MBR-1369,250,Active,1
370,MBR-1370,90,Active,1
371,MBR-1371,520,Active,1
372,MBR-1372,140,Active,1
373,MBR-1373,3800,Active,2
374,MBR-1374,840,Active,1
375,MBR-1375,1300,Active,2
376,MBR-1376,440,Active,1
377,MBR-1377,5000,Active,3
378,MBR-1378,230,Active,1
379,MBR-1379,2900,Active,2
380,MBR-1380,1700,Active,2
381,MBR-1381,4600,Active,2
382,MBR-1382,440,Active,1
383,MBR-1383,930,Active,1
384,MBR-1384,790,Active,1
385,MBR-1385,60,Suspended,1
386,MBR-1386,290,Active,1
387,MBR-1387,80,Active,1
388,MBR-1388,920,Active,1
389,MBR-1389,320,Active,1
390,MBR-1390,3700,Active,2
391,MBR-1391,980,Active,1
392,MBR-1392,60,Active,1
393,MBR-1393,820,Active,1
394,MBR-1394,590,Active,1
395,MBR-1395,460,Active,1
396,MBR-1396,1500,Active,2
397,MBR-1397,110,Active,1
398,MBR-1398,200,Active,1
399,MBR-1399,770,Active,1
400,MBR-1400,710,Active,1
401,MBR-1401,180,Active,1
402,MBR-1402,660,Active,1
403,MBR-1403,7400,Active,3
404,MBR-1404,810,Active,1
405,MBR-1405,770,Active,1
406,MBR-1406,700,Active,1
407,MBR-1407,550,Active,1
408,MBR-1408,3300,Active,2
409,MBR-1409,3700,Active,2
410,MBR-1410,7500,Active,3
411,MBR-1411,4900,Active,2
412,MBR-1412,240,Active,1
413,MBR-1413,680,Active,1
414,MBR-1414,440,Active,1
415,MBR-1415,190,Active,1
416,MBR-1416,5700,Active,3
417,MBR-1417,50,Active,1
418,MBR-1418,860,Active,1
419,MBR-1419,620,Active,1
420,MBR-1420,100,Active,1
421,MBR-1421,0,Active,1
422,MBR-1422,1600,Active,2
423,MBR-1423,1800,Active,2
424,MBR-1424,0,Active,1
425,MBR-1425,530,Active,1
426,MBR-1426,630,Active,1
427,MBR-1427,200,Active,1
428,MBR-1428,420,Active,1
429,MBR-1429,380,Active,1
430,MBR-1430,440,Active,1
431,MBR-1431,0,Active,1
432,MBR-1432,20,Active,1
433,MBR-1433,1500,Active,2
434,MBR-1434,760,Active,1
435,MBR-1435,490,Active,1
436,MBR-1436,5200,Active,3
437,MBR-1437,810,Active,1
438,MBR-1438,140,Active,1
439,MBR-1439,880,Active,1
440,MBR-1440,470,Suspended,1
441,MBR-1441,430,Active,1
442,MBR-1442,800,Active,1
443,MBR-1443,690,Active,1
444,MBR-1444,100,Active,1
445,MBR-1445,1900,Active,2
446,MBR-1446,720,Active,1
447,MBR-1447,700,Active,1
448,MBR-1448,600,Active,1
449,MBR-1449,700,Inactive,1
450,MBR-1450,310,Active,1
451,MBR-1451,400,Active,1
452,MBR-1452,5500,Active,3
453,MBR-1453,800,Active,1
454,MBR-1454,680,Active,1
455,MBR-1455,460,Active,1
456,MBR-1456,3900,Active,2
457,MBR-1457,980,Active,1
458,MBR-1458,540,Active,1
459,MBR-1459,4800,Active,2
460,MBR-1460,410,Active,1
461,MBR-1461,650,Active,1
462,MBR-1462,1900,Active,2
463,MBR-1463,570,Active,1
464,MBR-1464,2200,Active,2
465,MBR-1465,4700,Active,2
466,MBR-1466,400,Active,1
467,MBR-1467,370,Active,1
468,MBR-1468,270,Active,1
469,MBR-1469,730,Active,1
470,MBR-1470,570,Active,1
471,MBR-1471,60,Active,1
472,MBR-1472,810,Active,1
473,MBR-1473,840,Active,1
474,MBR-1474,310,Active,1
475,MBR-1475,250,Active,1
476,MBR-1476,740,Active,1
477,MBR-1477,330,Active,1
478,MBR-1478,260,Active,1
479,MBR-1479,740,Active,1
480,MBR-1480,500,Active,1
481,MBR-1481,3900,Active,2
482,MBR-1482,650,Active,1
483,MBR-1483,1700,Suspended,2
484,MBR-1484,1400,Active,2
485,MBR-1485,620,Active,1
486,MBR-1486,630,Active,1
487,MBR-1487,280,Active,1
488,MBR-1488,90,Active,1
489,MBR-1489,880,Active,1
490,MBR-1490,420,Active,1
491,MBR-1491,520,Active,1
492,MBR-1492,780,Active,1
493,MBR-1493,510,Active,1
494,MBR-1494,590,Active,1
495,MBR-1495,190,Active,1
496,MBR-1496,210,Active,1
497,MBR-1497,2700,Active,2
498,MBR-1498,700,Active,1
499,MBR-1499,780,Active,1
500,MBR-1500,520,Active,1
501,MBR-1501,640,Active,1
502,MBR-1502,860,Active,1
503,MBR-1503,1100,Active,2
504,MBR-1504,600,Active,1
505,MBR-1505,880,Active,1
506,MBR-1506,910,Active,1
507,MBR-1507,10,Active,1
508,MBR-1508,500,Active,1
509,MBR-1509,730,Active,1
510,MBR-1510,1700,Active,2
511,MBR-1511,1800,Active,2
512,MBR-1512,300,Inactive,1
513,MBR-1513,480,Suspended,1
514,MBR-1514,5400,Active,3
515,MBR-1515,3000,Active,2
516,MBR-1516,850,Active,1
517,MBR-1517,800,Active,1
518,MBR-1518,4000,Active,2
519,MBR-1519,700,Active,1
520,MBR-1520,220,Active,1
521,MBR-1521,80,Active,1
522,MBR-1522,110,Active,1
523,MBR-1523,740,Active,1
524,MBR-1524,2200,Active,2
525,MBR-1525,780,Active,1
526,MBR-1526,800,Active,1
527,MBR-1527,5200,Active,3
528,MBR-1528,640,Active,1
529,MBR-1529,150,Active,1
530,MBR-1530,950,Active,1
531,MBR-1531,950,Active,1
532,MBR-1532,820,Active,1
533,MBR-1533,580,Active,1
534,MBR-1534,390,Active,1
535,MBR-1535,890,Active,1
536,MBR-1536,3700,Active,2
537,MBR-1537,660,Active,1
538,MBR-1538,7700,Active,3
539,MBR-1539,270,Active,1
540,MBR-1540,290,Active,1
541,MBR-1541,240,Active,1
542,MBR-1542,50,Active,1
543,MBR-1543,250,Active,1
544,MBR-1544,120,Active,1
545,MBR-1545,3100,Active,2
546,MBR-1546,4700,Active,2
547,MBR-1547,510,Active,1
548,MBR-1548,720,Active,1
549,MBR-1549,3900,Active,2
550,MBR-1550,2700,Active,2
551,MBR-1551,590,Active,1
552,MBR-1552,9300,Active,3
553,MBR-1553,130,Active,1
554,MBR-1554,780,Active,1
555,MBR-1555,640,Active,1
556,MBR-1556,4800,Active,2
557,MBR-1557,770,Active,1
558,MBR-1558,910,Active,1
559,MBR-1559,440,Active,1
560,MBR-1560,0,Active,1
561,MBR-1561,600,Active,1
562,MBR-1562,520,Active,1
563,MBR-1563,4000,Active,2
564,MBR-1564,800,Active,1
565,MBR-1565,430,Active,1
566,MBR-1566,900,Active,1
567,MBR-1567,50,Active,1
568,MBR-1568,290,Active,1
569,MBR-1569,110,Active,1
570,MBR-1570,930,Active,1
571,MBR-1571,320,Active,1
572,MBR-1572,540,Active,1
573,MBR-1573,760,Active,1
574,MBR-1574,6900,Active,3
575,MBR-1575,1000,Active,2
576,MBR-1576,370,Active,1
577,MBR-1577,890,Active,1
578,MBR-1578,180,Active,1
579,MBR-1579,700,Active,1
580,MBR-1580,640,Active,1
581,MBR-1581,90,Active,1
582,MBR-1582,590,Active,1
583,MBR-1583,6300,Active,3
584,MBR-1584,650,Active,1
585,MBR-1585,430,Active,1
586,MBR-1586,730,Active,1
587,MBR-1587,2300,Active,2
588,MBR-1588,2900,Active,2
589,MBR-1589,100,Active,1
590,MBR-1590,310,Active,1
591,MBR-1591,890,Active,1
592,MBR-1592,310,Active,1
593,MBR-1593,380,Active,1
594,MBR-1594,230,Active,1
595,MBR-1595,710,Active,1
596,MBR-1596,4600,Active,2
597,MBR-1597,3800,Active,2
598,MBR-1598,4400,Active,2
599,MBR-1599,970,Active,1
600,MBR-1600,410,Active,1
601,MBR-1601,960,Active,1
602,MBR-1602,500,Active,1
603,MBR-1603,60,Active,1
604,MBR-1604,900,Active,1
605,MBR-1605,230,Active,1
606,MBR-1606,950,Active,1
607,MBR-1607,790,Active,1
608,MBR-1608,2200,Active,2
609,MBR-1609,350,Active,1
610,MBR-1610,950,Active,1
611,MBR-1611,570,Active,1
612,MBR-1612,150,Active,1
613,MBR-1613,3300,Active,2
614,MBR-1614,820,Active,1
615,MBR-1615,900,Active,1
616,MBR-1616,310,Active,1
617,MBR-1617,830,Active,1
618,MBR-1618,1700,Active,2
619,MBR-1619,900,Active,1
620,MBR-1620,600,Active,1
621,MBR-1621,500,Active,1
622,MBR-1622,100,Active,1
623,MBR-1623,610,Active,1
624,MBR-1624,860,Active,1
625,MBR-1625,340,Active,1
626,MBR-1626,910,Active,1
627,MBR-1627,2300,Active,2
628,MBR-1628,960,Active,1
629,MBR-1629,640,Active,1
630,MBR-1630,280,Active,1
631,MBR-1631,2500,Active,2
632,MBR-1632,260,Active,1
633,MBR-1633,350,Active,1
634,MBR-1634,790,Active,1
635,MBR-1635,3900,Active,2
636,MBR-1636,190,Active,1
637,MBR-1637,6500,Active,3
638,MBR-1638,250,Active,1
639,MBR-1639,880,Active,1
640,MBR-1640,700,Active,1
641,MBR-1641,7800,Active,3
642,MBR-1642,660,Active,1
643,MBR-1643,800,Active,1
644,MBR-1644,150,Active,1
645,MBR-1645,830,Active,1
646,MBR-1646,690,Active,1
647,MBR-1647,1100,Active,2
648,MBR-1648,880,Active,1
649,MBR-1649,250,Active,1
650,MBR-1650,190,Active,1
651,MBR-1651,730,Active,1
652,MBR-1652,3300,Active,2
653,MBR-1653,910,Active,1
654,MBR-1654,400,Active,1
655,MBR-1655,520,Active,1
656,MBR-1656,950,Active,1
657,MBR-1657,720,Active,1
658,MBR-1658,190,Active,1
659,MBR-1659,6200,Active,3
660,MBR-1660,420,Active,1
661,MBR-1661,540,Active,1
662,MBR-1662,180,Active,1
663,MBR-1663,4800,Active,2
664,MBR-1664,310,Active,1
665,MBR-1665,370,Active,1
666,MBR-1666,990,Active,1
667,MBR-1667,770,Active,1
668,MBR-1668,810,Active,1
669,MBR-1669,800,Active,1
670,MBR-1670,1000,Active,2
671,MBR-1671,410,Active,1
672,MBR-1672,2800,Active,2
673,MBR-1673,270,Active,1
674,MBR-1674,780,Active,1
675,MBR-1675,3100,Active,2
676,MBR-1676,860,Active,1
677,MBR-1677,120,Active,1
678,MBR-1678,610,Active,1
679,MBR-1679,600,Active,1
680,MBR-1680,5900,Active,3
681,MBR-1681,360,Active,1
682,MBR-1682,300,Active,1
683,MBR-1683,7700,Active,3
684,MBR-1684,8600,Active,3
685,MBR-1685,610,Active,1
686,MBR-1686,750,Active,1
687,MBR-1687,2200,Active,2
688,MBR-1688,50,Active,1
689,MBR-1689,3100,Active,2
690,MBR-1690,7000,Active,3
691,MBR-1691,840,Active,1
692,MBR-1692,2500,Active,2
693,MBR-1693,810,Active,1
694,MBR-1694,870,Active,1
695,MBR-1695,980,Active,1
696,MBR-1696,230,Active,1
697,MBR-1697,290,Active,1
698,MBR-1698,4000,Active,2
699,MBR-1699,560,Active,1
700,MBR-1700,960,Active,1
701,MBR-1701,5700,Active,3
702,MBR-1702,1400,Active,2
703,MBR-1703,800,Active,1
704,MBR-1704,410,Active,1
705,MBR-1705,2300,Active,2
706,MBR-1706,20,Active,1
707,MBR-1707,930,Active,1
708,MBR-1708,820,Active,1
709,MBR-1709,5700,Active,3
710,MBR-1710,8000,Active,3
711,MBR-1711,220,Active,1
712,MBR-1712,510,Active,1
713,MBR-1713,230,Active,1
714,MBR-1714,120,Active,1
715,MBR-1715,230,Active,1
716,MBR-1716,590,Active,1
717,MBR-1717,160,Active,1
718,MBR-1718,460,Active,1
719,MBR-1719,2800,Active,2
720,MBR-1720,0,Active,1
721,MBR-1721,870,Active,1
722,MBR-1722,4000,Active,2
723,MBR-1723,5100,Active,3
724,MBR-1724,790,Suspended,1
725,MBR-1725,100,Active,1
726,MBR-1726,250,Active,1
727,MBR-1727,590,Active,1
728,MBR-1728,580,Active,1
729,MBR-1729,630,Active,1
730,MBR-1730,460,Active,1
731,MBR-1731,760,Active,1
732,MBR-1732,600,Active,1
733,MBR-1733,350,Active,1
734,MBR-1734,5800,Active,3
735,MBR-1735,70,Active,1
736,MBR-1736,520,Active,1
737,MBR-1737,20,Active,1
738,MBR-1738,550,Active,1
739,MBR-1739,1700,Active,2
740,MBR-1740,590,Suspended,1
741,MBR-1741,190,Active,1
742,MBR-1742,690,Active,1
743,MBR-1743,880,Active,1
744,MBR-1744,5900,Active,3
745,MBR-1745,440,Active,1
746,MBR-1746,980,Active,1
747,MBR-1747,1800,Active,2
748,MBR-1748,30,Inactive,1
749,MBR-1749,540,Active,1
750,MBR-1750,2200,Active,2
751,MBR-1751,230,Active,1
752,MBR-1752,780,Active,1
753,MBR-1753,890,Active,1
754,MBR-1754,840,Active,1
755,MBR-1755,330,Active,1
756,MBR-1756,5500,Active,3
757,MBR-1757,830,Active,1
758,MBR-1758,600,Active,1
759,MBR-1759,520,Active,1
760,MBR-1760,930,Active,1
761,MBR-1761,880,Active,1
762,MBR-1762,180,Active,1
763,MBR-1763,690,Active,1
764,MBR-1764,2200,Active,2
765,MBR-1765,430,Active,1
766,MBR-1766,770,Active,1
767,MBR-1767,150,Active,1
768,MBR-1768,2100,Active,2
769,MBR-1769,1700,Active,2
770,MBR-1770,640,Active,1
771,MBR-1771,2400,Active,2
772,MBR-1772,530,Active,1
773,MBR-1773,1100,Active,2
774,MBR-1774,880,Active,1
775,MBR-1775,9600,Active,3
776,MBR-1776,640,Active,1
777,MBR-1777,500,Active,1
778,MBR-1778,700,Active,1
779,MBR-1779,810,Active,1
780,MBR-1780,480,Active,1
781,MBR-1781,740,Active,1
782,MBR-1782,290,Active,1
783,MBR-1783,460,Active,1
784,MBR-1784,590,Active,1
785,MBR-1785,390,Active,1
786,MBR-1786,2900,Active,2
787,MBR-1787,960,Active,1
788,MBR-1788,210,Active,1
789,MBR-1789,620,Active,1
790,MBR-1790,380,Active,1
791,MBR-1791,4600,Active,2
792,MBR-1792,700,Active,1
793,MBR-1793,830,Active,1
794,MBR-1794,200,Active,1
795,MBR-1795,740,Active,1
796,MBR-1796,1000,Active,2
797,MBR-1797,290,Active,1
798,MBR-1798,30,Active,1
799,MBR-1799,630,Active,1
800,MBR-1800,4900,Active,2
801,MBR-1801,7000,Active,3
802,MBR-1802,3700,Active,2
803,MBR-1803,840,Active,1
804,MBR-1804,110,Active,1
805,MBR-1805,110,Active,1
806,MBR-1806,410,Active,1
807,MBR-1807,410,Active,1
808,MBR-1808,1900,Active,2
809,MBR-1809,710,Active,1
810,MBR-1810,780,Active,1
811,MBR-1811,3700,Active,2
812,MBR-1812,570,Active,1
813,MBR-1813,4600,Active,2
814,MBR-1814,870,Active,1
815,MBR-1815,140,Active,1
816,MBR-1816,190,Active,1
817,MBR-1817,6200,Active,3
818,MBR-1818,2700,Active,2
819,MBR-1819,0,Suspended,1
820,MBR-1820,890,Active,1
821,MBR-1821,560,Active,1
822,MBR-1822,570,Active,1
823,MBR-1823,60,Active,1
824,MBR-1824,200,Active,1
825,MBR-1825,90,Active,1
826,MBR-1826,1000,Active,2
827,MBR-1827,840,Active,1
828,MBR-1828,780,Active,1
829,MBR-1829,2500,Active,2
830,MBR-1830,9100,Suspended,3
831,MBR-1831,160,Active,1
832,MBR-1832,400,Active,1
833,MBR-1833,200,Active,1
834,MBR-1834,3100,Active,2
835,MBR-1835,310,Active,1
836,MBR-1836,30,Active,1
837,MBR-1837,1700,Active,2
838,MBR-1838,630,Active,1
839,MBR-1839,720,Active,1
840,MBR-1840,70,Active,1
841,MBR-1841,4400,Active,2
842,MBR-1842,0,Active,1
843,MBR-1843,5000,Active,3
844,MBR-1844,820,Active,1
845,MBR-1845,700,Active,1
846,MBR-1846,0,Active,1
847,MBR-1847,260,Active,1
848,MBR-1848,310,Active,1
849,MBR-1849,4000,Active,2
850,MBR-1850,670,Active,1
851,MBR-1851,210,Active,1
852,MBR-1852,500,Active,1
853,MBR-1853,960,Active,1
854,MBR-1854,800,Active,1
855,MBR-1855,3900,Active,2
856,MBR-1856,950,Suspended,1
857,MBR-1857,40,Active,1
858,MBR-1858,900,Active,1
859,MBR-1859,200,Active,1
860,MBR-1860,5800,Active,3
861,MBR-1861,1500,Active,2
862,MBR-1862,150,Active,1
863,MBR-1863,630,Active,1
864,MBR-1864,3600,Active,2
865,MBR-1865,860,Active,1
866,MBR-1866,710,Active,1
867,MBR-1867,2600,Active,2
868,MBR-1868,490,Active,1
869,MBR-1869,3500,Active,2
870,MBR-1870,100,Active,1
871,MBR-1871,6500,Active,3
872,MBR-1872,3200,Active,2
873,MBR-1873,640,Active,1
874,MBR-1874,9000,Active,3
875,MBR-1875,970,Active,1
876,MBR-1876,71000,Active,3
877,MBR-1877,950,Active,1
878,MBR-1878,5800,Active,3
879,MBR-1879,5500,Active,3
880,MBR-1880,2200,Active,2
881,MBR-1881,3100,Active,2
882,MBR-1882,300,Active,1
883,MBR-1883,160,Active,1
884,MBR-1884,5000,Active,3
885,MBR-1885,100,Active,1
886,MBR-1886,4800,Active,2
887,MBR-1887,810,Active,1
888,MBR-1888,50000,Active,3
889,MBR-1889,30,Active,1
890,MBR-1890,730,Active,1
891,MBR-1891,310,Active,1
892,MBR-1892,920,Active,1
893,MBR-1893,780,Active,1
894,MBR-1894,1700,Active,2
895,MBR-1895,180,Active,1
896,MBR-1896,780,Active,1
897,MBR-1897,2400,Active,2
898,MBR-1898,3900,Active,2
899,MBR-1899,970,Active,1
900,MBR-1900,8000,Active,3
901,MBR-1901,2400,Active,2
902,MBR-1902,340,Active,1
903,MBR-1903,780,Active,1
904,MBR-1904,1700,Active,2
905,MBR-1905,520,Active,1
906,MBR-1906,3100,Active,2
907,MBR-1907,910,Active,1
908,MBR-1908,5300,Active,3
909,MBR-1909,700,Active,1
910,MBR-1910,6000,Active,3
911,MBR-1911,410,Active,1
912,MBR-1912,0,Inactive,1
913,MBR-1913,1600,Active,2
914,MBR-1914,420,Active,1
915,MBR-1915,42000,Active,3
916,MBR-1916,720,Active,1
917,MBR-1917,10,Active,1
918,MBR-1918,100,Active,1
919,MBR-1919,380,Active,1
920,MBR-1920,8100,Active,3
921,MBR-1921,40,Active,1
922,MBR-1922,630,Active,1
923,MBR-1923,1700,Suspended,2
924,MBR-1924,740,Active,1
925,MBR-1925,4600,Active,2
